Sentence,Translation,Vote
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","L'altra un'amante chiamarla al mezzo della sua donna dice parole e ragioni tante, e lei si difende nel suo dire.",
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che, quando ero arrabbiato, scappai via la mia donna. Ohi, quante giornate di ira mi hanno portato!",
colui del quale tu tti solevi dolere ch' era amante della tua donna;,That man whom you often mentioned as the lover of your woman.,
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi di coloro della congiurazione, perché la donna non nominava già i nomi.",
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo quando li muove, ti dice: ""Oh fedele mia donna, facci che in mio luogo ti sia stato raccomandato il nostro ospite troiano"".",
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, la malvagità di una donna fu ripressa nel tempo stesso di questo signore della Repubblica.",
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentano l'iniquità di Appio, e riprano la mala ventura della puella e la necessità del padre.",
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolpi che non solamente la pace era scherpa.",
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda sulolo talora per la grande proposizione fa timoroso, e la prima per l'ardire rende gli altri matti.",
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e l'intera legione prese con sé.,
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo desiderava conoscere come nemico. Questa è quella che gli diede fuoco al profeta Nathan per fargli riprendere con grande autorità quello re che aveva peccato.,
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","The arms and together with them passed between the enemies, because if anyone did not have the courage of this and yet had this spirit.",
Unde ragionevolemente Iob è interpretato dolente;,"Reasonably enough, Iob is interpreted as unhappy.",
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra tutti gli altri perdonò ai cittadini, e a cui più sicuramente poteste credere; poi ch'egli fu vostro comandatore.",
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano si domanda chi questo libro scrivesse, in quanto sia cosa che fedelmente si deve credere che l'Autore di quello fosse lo Spirito Santo.",
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così satura, ciò parebbe certo molto più incredibile. Certo più facilmente si può credere quello, visto che l'uomo è pari al divino e il mutabile è incommutabile.",
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga dal camarlingo per la loro dispensa e contemporaneamente andassero alla presenza di Messer lo Papa per contradarre il passaggio dei cavalieri che venivano da Cecilia in Toscana.,
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao molto meravigliato e disse: ""Oh messere Achelao, ti prego di dirmi come persidi.""",
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Ho speranza nel signor Isu di farvi sapere di nuovo presto, quando sarò felice.",
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Without fail the wild boar advances towards the man who knows how to speak and the wolf that sees is aware.,
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"Un luogo dove si mandano lancioni; la quale cosa i cavalieri l'appellantano capo di porco.

**Modern Italian:**
Un luogo dove si mandano lancioni; di cui i cavalieri lo chiamano capo di porco.",
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Attraversa le reti ai cervi e sai bene in quale valle dimore il furioso porco cinghiare.,
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",Ora spaventerai i disperati cervi con varie paure o il maiale si è messo a cennare la polvere.,
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","La natura delle cose incorporali, come Dio e le cose divine, non conversano all'interno delle proprie corpori.",
"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui si dispensano e giudicano tutte le cose.

The archaic Italian sentence has been translated to modern Italian as above.",
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Quando qualcuno passava l'ordine ai poeti, questi ultimi proclamavano le proprie virtue e ammainavano i propri difetti.",
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, la quale è diretta ed onesta, e con virtute, quella sola penso essere il bene.",
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando le serpenti riempivano di giorno qualcun Romano, allora era la meraviglia di vedere come i Psille si combattevano al veleno, ché li immolavano tutto inazzi della loro saliva.",
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Il poeta dice: oh, quanto bella cosa è vedere apertamente con gli occhi quando tu glel fai diretto o in culo o in altro.",
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporei la cosa invisibile.

**Modern Italian Translation:**

Ma anche questo era colpa tua, però che vorresti cercare di vedere con gli occhi del corpo la cosa invisibile.",
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","Veramente è così, ma non ti risposto in questo momento, perché tu sei il mio servo, oppure perché è un tempo di ferimento, oppure perché non devo rispondere a te.",
sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, convengo che li lasciasse andare via perché hanno grande avere.

**Explanation:**

* **Sì convene che:** In modern Italian, this would be ""Sì, ho convenzione che"".
* **lliDisse grande avere:** ""li"" is an archaic plural pronoun that refers to ""li"" people. ""Disse grande avere"" means ""have great wealth"".
* **perché lasciasse andare via:** ""Perché"" is an archaic conjunction that means ""because"". ""Lasciasse andare via"" means ""let them go away"".",
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio noto a chiunque si guardasse di fare e di pensare tradìzione, il servo, che gli aveva accusato, fu liberato e fuggì con una grande quantità di moneta.",
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe per lui una cosa sconcia se avesse commesso come aveva fatto Platone, in cui la colpa del servo e il suo gastigamento avrebbero avuto la stessa dignità.",
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Più che mai le sue forze, dategogli re a questa città nella quale nacque servo; al quale avvenne lunghissimamente lo stato tenere.",
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la sua forza per la propria proprietà del corpo a cui è connessa.,
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Dio, e l'anima. Onde altro luogo dice S. Paolo: Chi si accetta a Dio è uno spirito.",
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Per tanto che Lucio il disse, lo raccontiamo. In quel luogo, quando l'anima di Pompeo ebbe sentito la chiare di lasciarlo, essa sì cognise prima di tutto.",
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sì, dolore è ad avere quando lo si usa l'arma e la fatica ricusano, con grande disonore come pecore essere.",
et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ne ebbe mai nel fastido Cristo tante parole da dire.,
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di coloro che tu hai potuto vedere e riguardare lo studio e poco dinanzi udere il suono, e le cui mani e lance appena posso ritenere.",
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Parlare di bell'amore e profumare di fiori belli, come quando e come si conviene.",
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò nel giardino dietro al suo hotel, come se pensasse alla risposta.",
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero qui dove non posso col corpo andare, con la mente vi volo.

**Meaning:** 
But I desire to be here where I cannot go with my body, with my mind I fly to you.",
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"Ecco di subito, tutta questa turba degli uccelli si alzò in volo dietro all'aquila.",
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vedde anche le ragioni del volo degli uccelli e di tutte le cose che sa rendere vero giudizio.,
Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco quanto per la tua superbia, questo uccello volava in alto.

**Explanation:**

* **Or** -> Ecco (meaning ""here"" or ""indeed"")
* ** ecco quanto** -> Ecco quanto (meaning ""as much as"")
* **per la sua superbia** -> per la tua superbia (meaning ""because of your pride"")
* **questo uccello** -> questo l'uccello (meaning ""this bird"")
* **volava in alto** -> volava in alto (meaning ""was flying high"")",
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, ho questa proprietà che posso volare come un uccello.",
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrivono giuramenti a Dio, a Cristo e allo Spirito Santo.",
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità, il ridicolo che, secondo il comando tuo, padre santo Agostino, le battaglie già state nel mondo [...]",
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto di più memoria saranno fatte al re, perché nella nostra città sempre fu santo e glorioso il suo nome, e se ne erano compagni, fu il loro nome santissimo.",
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu superbi per lo scopo sacro, e vi prometto la verginità vedendo le sue lode.",
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino scris un libro che aveva il nome ""Agostino della Città di Dio"".",
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non hai mai udito che nessuno abbia maestro; ma il dono dello Spirito Santo non può essere limitato da leggi.,
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbigrazia: I mercanti fiorentini passavano in nave per andare oltremare.,
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.",Quando avrai sul cavallo i detti segni visti non andranno a grandezza cadendo perché nelle battaglie sono più utili i forti che i grandi.,
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","Inoltre, cosa che è più grave è essere preso o fuggire e lasciare vincere al Comune.",
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sì, davvero. Se non ci avevamo affrettato a fuggire, saremmo tutti morti.",
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco creteense che era stato aiutato dagli nemici avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente achea poco avanti da lui.",
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'acconciamento a fare grandi cose, cioè a tener pace e amare i figli e i proxi, a fare città, castelli e magioni.",
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Chi ancora non sa amare il prossimo come sé stesso già comincia ad avere paura dei giudizi di Dio.,
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, poi che ha impaniate le ali, non fugge più salvamente, né quel porco selvatico esce bene dalle reti ove cade.",
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?",Ho aperto le porte e loro sono fuggiti. Che bisogno c'è che il tuo cuore sia chiuso al tuo modo Cristo?,
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Pertanto, visto che queste cose stanno così, Catellina, non puoi stare qui a lungo. Dubiti hai di andarti in qualsiasi terra e usarla per fuggire dai tuoi nemici.",
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contra la voglia del Senato dimorare nel mezzo del tribunato, furono uccisi dalla plebe, incitandola i padri coscritti.",
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali la difesa delle provincie e la ventura di tutta la battaglia spetta.",
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dal monte dei Romani si fece nuovi nemici; contro i quali è conbattuto come diversa avventura: perché nella prima battaglia, essendo consolo Valerio, MMMD ne morì di Romani.",
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi siamo stati accusati e partiti di dovere della città, e tutti accusati da fama e da una buona avventura.",
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregai i dei per me; i vostri preghieri hanno valore: e se vi domandate chi ha la fortuna di questa battaglia, non fui vinto da nessuno.",
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, di ciò che sia che più ornavano principi di scherani corrutti per avventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allocò nella casa.",
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui e contro le sue sorelle, e contro il reame e contro l'alto prezzo della sua generazione e della sua famiglia.",
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si è incastrata e è salpata nel alto mare per attraversare questo passaggio rischioso, l'aria si è riempila di nuvole e pioggia.",
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.",Non uscì sulla sponda del foso e sul letto roccioso. Se da alto si potevano difendersi o in altro modo superarlo e fuggire.,
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Percepi che, passata la grandezza della università, quella medesima forma vede nella sottile vista.",
"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono un membro nobile del corpo umano, la saluti è una parte nobile della pistola. Ciò accade come quando gli occhi illuminano l'uomo.",
"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.",I Tarentini erano nati di Lacedemonia e facevano parte delle nobili città greche.,
"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulrico, era un uomo ricco e nobile: Orgentore era chiamato per nome.",
"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Inoltre, quando nobile cose e alte sono abbattute il nemico, non è meno lodevole sapere avere misericordià.",
"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il figlio, da Phausonia, gentile giovane di Macedonia, stava in un luogo stretto senza guardia, fu morto.",
"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchuno è ricco e gentile, ma si lamentò che sarebbe desiderabile avere un'altra moglie di quella che ha.",
"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, avendogli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia.",
"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregolo che lo liberasse di quella obbligazione, in cui egli l'aveva lasciato obbligato. Il gentile uomo assentì, e lo liberò, facendola carta.",
"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriva dall'Aquila. Come ci vediamo noi verso l'Aquila, se non il popolo gentiluomo congelato dalla freddo del peccato, che tenne sotto il suo giogo la sua tirannia.",
"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia tra me e te: non puoi dimorare più a lungo con noi, perché non lo sopporterò e non lo lascerò.",
