Sentence,Translation,Score
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Italia era stata denunciata la cattiveria di una donna per un inganno simile, nello stesso momento in cui questo signor della repubblica lo aveva fatto.",3
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lagnavano dell'indecenza di Appio e si ripagavano il cattivo caso della fanciulla e la necessità del padre.,2
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quel conflitto, certo ebbi sempre il coraggio di discutere sulla pace e sempre mi dispiaceva che non solo la pace fosse sminuita.

(Note: I translated ""dolfi"" as ""dispiaceva"", which is the modern Italian equivalent of the archaic verb. The phrase ""non solamente la pace era schifata"" could also be translated as ""ma non solo la pace venne disprezzata"" or ""ma non solo la pace fu sminuita"", but I chose to keep the same sentence structure and wording as much as possible.)",4
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda volta il timore può spesso generare paura, e la prima volta il coraggio può portare qualcuno a fare cose folli.",3
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione lo seguì.,5
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non volle conoscere come nemico. Questo è l'uomo che diede coraggio al profeta Natanaele per criticare duramente quel re che aveva peccato.

(Note: I've translated ""Natan"" to ""Natanaele"", which is the Italian translation of the biblical prophet Nathan, and changed ""cognoscere"" to ""conoscere"" as it's a more common and modern way to express the same idea.)",4
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passarono tra i nemici, quindi se nessuno non aveva il coraggio di fare questo e lo avevano questo animo.",2
Unde ragionevolemente Iob è interpretato dolente;,Dove ragionevolmente Giobbe è interpretato con dolore.,5
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che perdonava ai cittadini più di tutti gli altri, e a cui potete credere con maggiore sicurezza; poi che egli è stato il vostro comando.",3
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile è chiedersi chi abbia scritto questo libro, poiché dobbiamo credere sinceramente che lo spirito santo ne sia stato l'autore.",5
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse tanto comune, ciò sembrerebbe certamente molto più incredibile: certo si può credere meglio a quell'altro, posto che lo spirito umano si adatta al divino e il mutevole allo immutabile.",4
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga dal camerlingo per loro dispensa e immediatamente andassero alla presenza di messer lo papa per contrastare il passaggio dei cavalieri che venivano da Cecilia in Toscana.,4
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teoso guardò Achelao con sguardo ammirato e disse: ""Oh signor Achelao, ti prego di dirmi come hai perso"".",4
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",Spero di poter presto contattare Teodoro per mantenere una mentalità positiva.,2
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza sbagliare, il cinghiale selvaggio avanza l'uomo a udire e il lupo cerbiere al vedere.",4
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Un posto si spedono le lance; la quale cosa i cavalieri la chiamano testa di maiale.,5
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Stendere le reti ai cervi e sapere bene in quale valle abita il porcile feroce.,4
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ormai terrifierai i cervi disidrosi con vari e diversi timori, o il maiale si affaccerà a terra passando il collo per lo spiedo.",3
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Talmente tratta la natura di quelle entità che non interagiscono tra loro, come Dio e le divinità.",3
"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui si giudica tutto.

(Note: ""per la quale"" is an archaic way of saying ""per cui"", which means ""because of which"" or ""for which"".)",4
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove i poeti, parlando di sé, elencano le loro virtù e raccontano in modo esagerato i loro difetti, quando qualcuno superava l'ordine stabilito per loro.",4
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quell'idea, l'unica che è diretta e onesta, e con virtù, credo sia il bene.",5
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano qualcuno di giorno un Romano, allora era la meraviglia vedere come gli Psilli si combattevano al veleno, poiché essi sacrificavano tutto per la loro salvezza.",3
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: Oh, che bella cosa è guardare francamente con gli occhi quando ti fa dire la verità o nel senso stretto o in altro modo.",3
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pur questo fu colpa tua, però volevi cercare di vedere con gli occhi della mente quella cosa invisibile.",4
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","Sì, ma non ti rispondo in questo momento, perciò che tu sei mio servo, oppure perché è tempo di riposo, oppure perché non devo risponderti.",5
sì convene che lli desse grande avere perché · lasciasse andare via.,Sì è convenuto che gliene desse un grande importanza per lasciarlo andare via.,3
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Espero esempio a ogniuno che si preoccupi di fare e pensare la tradizione, il servo che gli aveva accusati fu assolto e le fu data una grande quantità di denaro.",3
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Se lui avesse commesso un simile atto, a lui stesso sarebbe sembrata cosa vergognosa se la colpa del servo e il castigo di Platone gli fossero valsi uguali.",4
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostra massimamente le sue forze, dandogli il ruolo di questo luogo nella città dove è nato, e a cui è successo di governare per molto tempo.",3
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muove tutta la sua forza per la proprietà di quel corpo al quale si unisce.,4
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Dio e l'anima. Invece altrove San Paolo dice: Chi si avvicina a Dio è uno spirito.",5
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Per questo motivo, ti racconteremo cosa Lucano disse. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza del lasso, essa si rese conto subito della grande verità.

(Note: ""l'anima di Pompeo"" refers to the soul or spirit of Pompey, not his actual soul, which would be an unusual expression in Italian. The sentence is likely describing a moment when Pompey's spirit was enlightened or inspired.)",4
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Quando il dolore è più grande da ascoltare, quando usarle armi e soffrire rifiutano, con un gran disonore come pecore.

Note: The translation is not literal, but it tries to convey the same meaning and emotions as the original sentence in archaic Italian.",3
et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ne ebbe a fastidio Cristo di udire queste parole.,5
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La massa di coloro che hai potuto vedere e osservare l'atelier e sentire le voci poco distante, e le cui mani e lance a malapena riesco a tenere.",4
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Ascoltare storie belle e sentire il profumo dei bei fiori, come e quando conviene.",5
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò nel giardino alle spalle del suo hotel, come se stesse meditando sulla risposta.",5
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io vado là dove non posso andare con il mio corpo, ma con la mia mente ci sono.

(Note: ""disioso"" is an archaic verb form that has been replaced by ""vado"" in Modern Italian. The translation also takes into account the evolution of linguistic expressions over time.)",4
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco che improvvisamente tutta quella folla d'uccelli si sollevò in volo dietro l'aquila.,5
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"Lo vede anche il perché dei voli degli uccelli e di tutte le cose, è in grado di rendersi un giudizio veritiero.",4
Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco quant'è alto che vola questo uccello per la sua superbia.,4
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".",La Gorgone e ho questa proprietà che volo nell'aria come un uccello.,5
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola vengono iscritti, giurano per Dio, per Cristo e per lo Spirito Santo.",5
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Secondo il tuo comando, Santo Padre Agostino, le battaglie che si sono already combattute nel mondo.

(Note: I've kept the translation fairly literal to preserve the original meaning and tone. If you'd like a more natural or idiomatic translation, please let me know!)",3
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno molte persone che gli renderanno omaggio al re, poiché nel nostro paese è sempre stato il nome reale sacro e glorioso, ed essi furono compagni di un nome santissimo.

(Note: I've kept the same sentence structure and word order as much as possible to preserve the original meaning and style.)",4
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non vorrei che ti lasciassi andare per il Santo Progetto e il tuo voto di castità, vista la sua celebrazione.

(Note: I've kept the translation as faithful as possible to the original meaning and tone, while using modern Italian expressions.)",4
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse il libro che aveva come titolo ""La Città di Dio"".",5
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non ho mai sentito dire che egli avesse un insegnante; ma il dono dello Spirito Santo è impossibile da leggere e regolare.

(Note: I've kept the archaic style's tone and rhythm as much as possible while still using modern Italian vocabulary and grammar.)",4
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Commercianti fiorentini viaggiavano in nave per recarsi all'estero.,5
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nei cavalieri i segnali visti non andare alla grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi.",3
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, ciò che è ancora più grave, è cioè venire catturato o scappare, e lasciare il proprio Comune essere sconfitto.",5
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Capite veramente che se noi non ci fossimo stati più cauti nel fuggire, saremmo stati tutti morti.",4
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Il tarco cretese che era pronto a intervenire in aiuto dei nemici poteva fuggire, ma la vergogna di abbandonare quei nobilissimi cavalieri achei poco prima lo trattenne.",5
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","Il compito è mantenere la pace, amare Dio e il prossimo, edificare città, castelli e magnifici edifici.

(Note: ""grandissime"" is an archaic expression that can be translated to ""magnifici"" in modern Italian)",4
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Quello che non sa ancora trattare l'altro come se stesso sta già iniziando a temere i giudizi divini.,4
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, una volta che ha spiegato le ali, non fuggisce salvo, né il cinghiale selvatico esce bene dalle reti in cui cade.",5
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io ti aprii, e loro scapparono. E a cosa serve, il tuo cuore restare chiuso al tuo sposo Cristo?

(Note: I've kept the translation as literal as possible to preserve the original meaning and tone of the archaic Italian text.)",5
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Quindi, poiché queste cose sono così, Catellina, e non puoi più rimanere qui, dubbi tu di andartene in un'altra terra ed usarla la vita evitando i deserti?",3
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","I due, desiderando restare nel tribunato contro la volontà del senato, furono uccisi dalla plebe, spinti dai consiglieri anziani.",4
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette",I ragazzi ai quali viene delegato il compito di difendere le province e il successo della battaglia intera.,5
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani si sono creati nuovi nemici; contro di loro è connesso un diverso destino: perché nella prima battaglia, essendo console Valerio, 3.000 Romani morirono.",4
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi ci siamo allontanati e divisi per dovere della città, e tutti ci siamo allontanati a causa di fama e buona fortuna.",4
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate per me; i vostri pregari valgono. E se volete sapere chi ha avuto fortuna in questo scontro, non fui battuto da quell'uomo.

(Note: I've taken some liberties with the translation to make it more idiomatic and natural-sounding in modern Italian. The original sentence has a somewhat archaic tone, so some adjustments were necessary to convey the same meaning in a more contemporary way.)",4
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, essendo molti principi di scherma che si recavano in quel tempo a vederla, Scipione, temendo che venissero per attaccarlo, allogò nella casa.",4
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro di lui, contro le sue sorelle, contro il regno e contro la massima gloria della sua generazione e della sua famiglia.",5
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando il naviglio si immerse nel traffico aereo e si trovò in alto mare, decise di prendere una rotta diretta attraverso quel percorso pericoloso; l'aria divenne nuvolosa e piovigginosa.

(Note: ""navilio"" is an archaic term for ""naviglio"", which means ""navigating"" or ""sailing"". In modern Italian, it would be translated as ""navigazione"" or simply ""si immerse nel traffico aereo"" to mean ""began navigating through the air traffic"")",2
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salì sulla riva del fossato, e sul cancello, se fosse possibile difendersi bene o trovare un modo per attraversare e fuggire.",5
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Il mio sguardo intellettuale è più elevato. Quindi, dopo aver superato l'importanza dell'università, la stessa forma semplice vedo nel mio raggio di vista.

(Note: I've kept the translation as close to the original meaning and tone as possible, while adapting it to modern Italian.)",4
"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, quindi la salva è una parte nobile della pistola; altrettanto, illuminare tutta la lettera come l'occhio illumina l'uomo.",3
"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli della Lacedonia e figli della nobilissima città greca.",4
"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Era un uomo ricco e nobile: Orlando fu chiamato per nome.,4
"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, quando qualcosa o qualcuno è caduto per mano nemica, non è minore merito mostrare compassione.",4
"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, questo è il genero e il figlio, dalla nobilissima Phausonia, gentile giovane macedone, stando in un luogo stretto senza guardia, fu ucciso.",5
"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Nessuno è ricco e gentile, ma si lagna di aver voluto una moglie diversa da quella che ha.",3
"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostrando le figure del popolo gentile, gli fu detto: ""ammazza e mangia"".",4
"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Lo sollevò da quell'obbligo, nel quale era stato obbligato. Il gentiluomo acconsentì, lo liberò e ne fece atto scritto.",5
"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dal Nord. Che figuriamoci noi per il Nord, se non un popolo Gentile congelato dal freddo del peccato, un popolo che tenne sotto il giogo della sua tirannia.

(Note: ""Aquilone"" is an archaic term for the north wind or direction, equivalent to modern Italian ""Nord"".)",4
"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Non puoi più restare qui con noi, finché io non ti esilio e non ti impedisco.

(Note: The original sentence is quite formal and poetic, so I tried to preserve its tone while translating it into Modern Italian. However, please keep in mind that the translation may not be exact or word-for-word.)",4
