Author,Date,Region,Sentence,translation,Score,score
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è un membro nobile del corpo umano, quindi la salutazione è un elemento importante della pistola; altrettanto, essa illumina tutta la lettera come l'occhio illumina l'uomo.",,4.0
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Gli abitanti di Taranto, nati da quelli che provenivano dall'antica Lacedonia e dalla nobilissima città dei Greci.",,5.0
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Quest'uomo era ricco e nobile; il suo nome era Ruggiero.,,4.0
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però, quando qualcosa di nobile e alto prevale sulla parte avversa, non è meno degno di lode il fatto di saper avere compassione.",,3.0
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Questo è lo sposo e il figlio di Fausonia, una giovane macedone gentile, che venne ucciso in un luogo stretto senza difesa.",,4.0
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Chiunque è ricco e gentile, ma si lagna perché vorrebbe avere un'altra moglie rispetto a quella che ha.",,5.0
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Peter was shown the Gentile people's figure; he was told: ""Kill and eat"".",,2.0
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","""Mi chiedeva di liberarlo da quel debito, nel quale era stato costretto a rimanere. L'uomo cortese acconsentì e lo liberò, facendone poi un foglio d'iscrizione.""",,4.0
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dalla nord. Ci figuriamo noi per la nord, se non il popolo gentile congelato dal freddo del peccato, il quale popolo tenne sotto il giogo della sua tirannia.

(Note: ""Aquilone"" is an old-fashioned term for the north, and ""l'Aquilone"" is a poetic way to refer to it. In modern Italian, we would use simply ""la nord"" instead.)",,3.0
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Non puoi più stare qui con noi perché io non lo permetterò e non lo tollererò.,,5.0
